                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71803,                0.59601,                 1.1236,                0.96903,                0.94905,                 0.9743,                0.85265,                0.60142,                0.39371,                  1.008,               0.007756,               0.007756,               0.007756
                     37,                0.71999,                0.59912,                 1.1305,                 0.9669,                0.94184,                0.97202,                0.85664,                0.60696,                0.38927,                  1.006,                0.00769,                0.00769,                0.00769
                     38,                0.71173,                0.58802,                 1.1209,                0.97306,                0.94168,                0.97397,                0.86088,                0.60219,                 0.3774,                 1.0086,               0.007624,               0.007624,               0.007624
                     39,                0.70628,                0.58186,                 1.1162,                0.97121,                0.95518,                0.97226,                0.85793,                0.58407,                0.37112,                0.98734,               0.007558,               0.007558,               0.007558
                     40,                0.70538,                0.58721,                 1.1149,                0.96546,                0.96368,                0.97362,                0.86014,                0.59695,                0.35847,                0.98947,               0.007492,               0.007492,               0.007492
                     41,                0.69995,                0.57344,                  1.114,                0.97862,                0.95435,                0.97282,                0.85997,                0.59012,                0.35819,                0.99008,               0.007426,               0.007426,               0.007426
                     42,                0.69443,                0.56768,                 1.1097,                0.97833,                0.95489,                 0.9736,                0.85675,                0.59216,                0.35921,                0.99225,                0.00736,                0.00736,                0.00736
                     43,                0.69048,                0.56319,                 1.1101,                0.97648,                0.95446,                0.97374,                0.86422,                0.58078,                0.36104,                0.98668,               0.007294,               0.007294,               0.007294
                     44,                 0.6886,                0.55164,                  1.111,                0.97132,                0.95442,                0.97526,                0.86751,                0.57368,                0.35121,                0.98176,               0.007228,               0.007228,               0.007228
                     45,                0.68399,                0.56253,                 1.1053,                0.95919,                0.95858,                 0.9738,                0.86405,                0.57596,                0.34894,                0.97448,               0.007162,               0.007162,               0.007162
                     46,                0.67485,                0.54369,                 1.0969,                0.97314,                0.96345,                0.97409,                0.86855,                0.58288,                0.34632,                0.98566,               0.007096,               0.007096,               0.007096
                     47,                0.67375,                0.54717,                  1.097,                0.97646,                 0.9529,                0.97505,                0.86952,                0.57891,                0.34214,                  0.981,                0.00703,                0.00703,                0.00703
                     48,                0.66912,                0.54316,                 1.0893,                0.98062,                0.95087,                0.97743,                0.87372,                0.55968,                0.33558,                0.97335,               0.006964,               0.006964,               0.006964
                     49,                0.66622,                0.53831,                 1.0907,                0.97627,                0.94569,                0.97385,                0.86935,                0.57666,                0.33632,                0.97814,               0.006898,               0.006898,               0.006898
                     50,                0.66503,                0.53925,                 1.0952,                0.96835,                0.95837,                0.97555,                0.87476,                0.56174,                0.33796,                0.96747,               0.006832,               0.006832,               0.006832
                     51,                0.65692,                0.52718,                 1.0881,                0.97246,                0.94731,                0.97346,                0.87092,                0.57676,                0.33974,                0.98111,               0.006766,               0.006766,               0.006766
                     52,                0.66487,                 0.5416,                 1.0931,                0.97106,                0.95364,                0.97368,                0.87299,                0.55458,                0.32965,                0.96699,                 0.0067,                 0.0067,                 0.0067
                     53,                0.65565,                0.52308,                 1.0793,                0.97284,                0.95729,                0.97517,                0.87692,                0.54922,                0.32775,                  0.965,               0.006634,               0.006634,               0.006634
                     54,                0.65233,                0.52208,                 1.0823,                0.97174,                0.96771,                0.97338,                0.87663,                0.55692,                0.32342,                0.96905,               0.006568,               0.006568,               0.006568
                     55,                0.64211,                0.52254,                 1.0805,                0.97528,                 0.9632,                0.97688,                0.88639,                0.54424,                0.33091,                0.95968,               0.006502,               0.006502,               0.006502
                     56,                0.63354,                0.50746,                 1.0712,                0.96648,                0.96271,                0.97507,                0.88104,                0.54534,                0.32816,                0.96348,               0.006436,               0.006436,               0.006436
                     57,                0.63838,                0.51315,                 1.0786,                0.97716,                0.95942,                0.97668,                0.88068,                 0.5459,                0.32098,                0.96251,                0.00637,                0.00637,                0.00637
                     58,                0.63333,                0.50257,                 1.0722,                0.96755,                0.96411,                0.97736,                0.88218,                0.55016,                0.31855,                0.96342,               0.006304,               0.006304,               0.006304
                     59,                0.62961,                0.50512,                 1.0694,                0.97611,                0.96039,                0.97443,                0.88125,                0.54696,                0.31429,                0.95279,               0.006238,               0.006238,               0.006238
                     60,                 0.6174,                0.48953,                 1.0579,                0.97365,                0.96418,                0.97486,                0.88542,                0.54687,                0.31544,                0.95394,               0.006172,               0.006172,               0.006172
                     61,                0.62124,                0.49413,                 1.0658,                0.97226,                0.96418,                0.97466,                0.88364,                0.54218,                0.31828,                0.95431,               0.006106,               0.006106,               0.006106
                     62,                0.62324,                0.48807,                 1.0663,                0.97616,                0.95152,                0.97534,                 0.8837,                0.54255,                0.31906,                0.95877,                0.00604,                0.00604,                0.00604
                     63,                 0.6164,                0.49153,                 1.0607,                0.97544,                0.95355,                 0.9756,                0.88561,                 0.5364,                 0.3114,                0.95751,               0.005974,               0.005974,               0.005974
                     64,                0.60996,                0.47694,                 1.0571,                0.97563,                0.95789,                0.97447,                0.88573,                0.52998,                 0.3107,                0.95044,               0.005908,               0.005908,               0.005908
                     65,                0.61613,                0.49016,                 1.0588,                0.96879,                0.95748,                0.97424,                0.88233,                0.53294,                0.31175,                 0.9476,               0.005842,               0.005842,               0.005842
                     66,                0.62061,                0.48555,                  1.063,                0.98023,                0.96042,                0.97456,                0.88206,                0.53673,                0.30884,                0.95516,               0.005776,               0.005776,               0.005776
                     67,                0.60734,                0.47908,                 1.0559,                0.97756,                0.95772,                 0.9749,                0.88471,                 0.5373,                0.30745,                0.95874,                0.00571,                0.00571,                0.00571
                     68,                0.60845,                0.47536,                 1.0518,                0.97343,                0.95944,                0.97475,                0.88363,                0.54029,                0.30863,                0.95397,               0.005644,               0.005644,               0.005644
                     69,                 0.5958,                0.47232,                 1.0478,                0.97859,                0.95592,                0.97535,                0.88875,                0.53676,                0.30993,                0.95107,               0.005578,               0.005578,               0.005578
                     70,                0.59558,                0.47047,                 1.0433,                0.97802,                0.95613,                0.97484,                0.88873,                0.52958,                0.30424,                0.94375,               0.005512,               0.005512,               0.005512
                     71,                0.59119,                0.46751,                 1.0432,                0.97852,                0.95951,                0.97599,                 0.8915,                0.52412,                0.30201,                0.93553,               0.005446,               0.005446,               0.005446
                     72,                0.58761,                 0.4671,                 1.0386,                0.98077,                0.95839,                0.97457,                 0.8891,                0.52892,                 0.3002,                 0.9426,                0.00538,                0.00538,                0.00538
                     73,                0.58461,                0.45866,                 1.0411,                0.97745,                0.95315,                0.97431,                0.88644,                0.53381,                0.30321,                0.94966,               0.005314,               0.005314,               0.005314
                     74,                0.57932,                0.44657,                 1.0283,                0.98108,                0.95473,                0.97371,                0.88553,                 0.5336,                 0.3035,                0.94684,               0.005248,               0.005248,               0.005248
                     75,                0.57273,                0.44411,                 1.0312,                0.98185,                0.95961,                0.97474,                0.88508,                0.53284,                 0.3018,                0.94886,               0.005182,               0.005182,               0.005182
                     76,                0.57985,                0.44508,                 1.0347,                0.98117,                0.96225,                0.97548,                 0.8869,                0.53192,                0.30156,                0.95343,               0.005116,               0.005116,               0.005116
                     77,                0.57364,                0.45011,                 1.0301,                0.98072,                0.96338,                0.97558,                0.88812,                0.53043,                0.30223,                0.95037,                0.00505,                0.00505,                0.00505
                     78,                0.57265,                0.44945,                 1.0348,                0.97255,                0.96356,                0.97537,                0.88655,                0.53339,                0.30194,                0.95219,               0.004984,               0.004984,               0.004984
